id,name,mode,quiet_cap,session,c1_dir,ema_align,sl,tp_mode,rr,risk,hesitation,seed,trades,wins,losses,wr,net,pf,maxdd,avg_win,avg_loss,benchmark,emotional_drag
Agent_05083,Agent_05083,Sw0.6_Wi1.2,2.0,,True,False,3.0,close,0.92,0.5,0.0,1040645981,195,108,87,55.38,11.74,1.14,-17.65,0.888,-0.967,False,0.0
Agent_02521,Agent_02521,Sw0.6_Wi1.2,2.0,,True,True,1.5,close,0.95,0.25,0.1,1611077119,176,97,79,55.11,11.42,1.161,-11.24,0.851,-0.9,False,0.0
Agent_06365,Agent_06365,Sw0.6_Wi1.2,2.0,,True,True,1.5,close,0.95,0.75,0.3,702678978,176,97,79,55.11,11.42,1.161,-11.24,0.851,-0.9,False,0.0
Agent_00343,Agent_00343,Sw0.6_Wi1.2,2.0,,False,False,2.0,rr,0.98,0.5,0.3,1540170604,236,130,106,55.08,19.69,1.199,-9.8,0.914,-0.935,False,0.0
Agent_02849,Agent_02849,Sw0.6_Wi1.2,2.0,,False,False,2.0,close,0.98,0.25,0.3,1787550016,236,130,106,55.08,19.69,1.199,-9.8,0.914,-0.935,False,0.0
Agent_01076,Agent_01076,Sw0.6_Wi1.2,2.0,,False,True,1.5,close,0.95,0.75,0.2,404192842,212,116,96,54.72,12.7,1.143,-11.24,0.874,-0.924,False,0.0
Agent_02626,Agent_02626,Sw0.6_Wi1.2,2.0,,True,False,1.5,close,1.01,0.5,0.1,1038765255,195,106,89,54.36,16.27,1.209,-11.86,0.889,-0.876,False,0.0
Agent_07407,Agent_07407,Sw0.6_Wi1.2,2.0,,False,False,1.5,close,1.02,0.5,0.3,724320527,236,128,108,54.24,20.33,1.21,-10.98,0.915,-0.896,False,0.0
Agent_00171,Agent_00171,ORIGINAL,3.0,,True,True,5.0,close,0.79,1.0,0.1,1632905061,65,35,30,53.85,-3.02,0.921,-12.76,1.001,-1.269,False,0.0
Agent_00852,Agent_00852,ORIGINAL,3.0,,True,False,5.0,rr,0.79,1.0,0.0,778197615,65,35,30,53.85,-3.02,0.921,-12.76,1.001,-1.269,False,0.0
Agent_04665,Agent_04665,ORIGINAL,3.0,,True,False,5.0,rr,0.79,0.25,0.1,1835534876,65,35,30,53.85,-3.02,0.921,-12.76,1.001,-1.269,False,0.0
Agent_05047,Agent_05047,ORIGINAL,3.0,,True,False,3.0,close,0.86,1.0,0.2,1388045537,65,35,30,53.85,-0.05,0.999,-10.76,1.001,-1.17,False,0.0
Agent_06107,Agent_06107,ORIGINAL,3.0,,True,True,3.0,close,0.86,0.75,0.2,1933621803,65,35,30,53.85,-0.05,0.999,-10.76,1.001,-1.17,False,0.0
Agent_01690,Agent_01690,Sw0.6_Wi1.2,1.5,,True,True,0.5,rr,1.82,0.75,0.0,1689956001,43,23,20,53.49,10.54,2.097,-2.07,0.876,-0.48,False,0.0
Agent_05591,Agent_05591,Sw0.6_Wi1.2,1.5,,True,True,0.5,close,1.82,0.5,0.1,692091320,43,23,20,53.49,10.54,2.097,-2.07,0.876,-0.48,False,0.0
Agent_06772,Agent_06772,Sw0.6_Wi1.2,1.5,,True,True,0.5,close,1.82,0.5,0.2,1380843546,43,23,20,53.49,10.54,2.097,-2.07,0.876,-0.48,False,0.0
Agent_06992,Agent_06992,Sw0.6_Wi1.2,1.5,,False,False,0.5,rr,1.8,0.25,0.0,235728466,49,26,23,53.06,11.44,2.03,-2.74,0.867,-0.483,False,0.0
Agent_01785,Agent_01785,ORIGINAL,3.0,,True,False,2.0,close,0.83,0.75,0.2,1936559529,65,34,31,52.31,-3.54,0.906,-11.04,1.0,-1.211,False,0.0
Agent_03719,Agent_03719,ORIGINAL,3.0,,True,False,2.0,rr,0.83,0.75,0.1,1778491983,65,34,31,52.31,-3.54,0.906,-11.04,1.0,-1.211,False,0.0
